,Gyny,ColonyStructure,ColonyFoundation,ColonyDensity,Workers,WorkerPolymorphism,MinBodySize,MaxBodySize,SterileWorkers,Sting,Diet,Aggressitivity,ForagingBehaviour,ActivityRange,HasSymbioses,Parasitic,SlaveMaking,NestRaids,Habitat,NestingType,DisturbanceSpecialist,InvasivenessStatus,Ecozone
Cryptopone_gilva,Oligogynous,NA,NA,NA,4.58496747867057,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ge,NA,NA,Native,Co
Camponotus_compressiscapus,NA,NA,NA,NA,NA,Yes,2.07944154167984,2.07944154167984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RF,NA,NA,Native,Af
Aenictus_rotundatus,NA,NA,NA,NA,NA,NA,1.19392246847243,1.56861591791385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Af
Myrmica_salina,NA,NA,NA,NA,NA,No,1.79175946922805,1.94591014905531,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Gr,NA,Native,Pa
Simopone_conradti,NA,NA,NA,NA,NA,NA,1.87180217690159,1.87180217690159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RF,NA,NA,Native,Af
Pyramica_bunki,NA,NA,NA,NA,3.71357206670431,No,1.1314021114911,1.1314021114911,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Ne
Temnothorax_rugatulus,Oligogynous,NA,Facultative,NA,4.58496747867057,No,NA,NA,No,Yes,NA,NA,NA,NA,NA,NA,NA,NA,Ge,Gr,No,Native,Ne
Camponotus_pilicornis,Monogynous,Monodomous,NA,NA,7.82444593087762,Yes,1.94591014905531,2.56494935746154,NA,No,Om,NA,NA,Night,NA,NA,NA,NA,Sh,Gr,No,Native,Pa
Cyphomyrmex_wheeleri,Monogynous,NA,Independent,NA,3.61091791264422,No,1.33500106673234,1.48160454092422,NA,Yes,NA,NA,NA,NA,NA,No,NA,NA,Ge,NA,NA,Native,Ne
Pheidole_prolixa,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RF,Ub,NA,Native,Neo
Dorylus_diadema,NA,NA,NA,NA,NA,NA,1.09861228866811,1.54756250871601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Af
Pheidole_rectispina,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,Ho,NA,NA,NA,NA,NA,NA,NA,RF,NA,NA,Native,Neo
Plagiolepis_brunni,NA,NA,NA,NA,NA,NA,0.832909122935104,0.993251773010283,NA,NA,Ho,NA,HT,NA,NA,NA,NA,NA,AA,Ub,NA,Native,Af
Strumigenys_trinidadensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Om,NA,NA,NA,NA,NA,NA,NA,RF,NA,NA,Native,Neo
Paraparatrechina_splendida,NA,NA,NA,NA,NA,No,0.8754687373539,1.28093384546206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RF,NA,NA,Native,Af
Polyrhachis_nigrita,NA,NA,NA,NA,NA,No,2.07944154167984,2.29253475714054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Af
Pachycondyla_constricta,NA,Monodomous,Independent,NA,NA,No,NA,NA,No,Yes,Pr,NA,SF,DayAndNight,NA,No,No,No,RF,TAL,No,Native,Neo
Pheidole_anastasii,NA,Polydomous,NA,NA,NA,Yes,NA,NA,NA,Yes,Om,NA,NA,NA,Yes,No,No,No,RF,Ub,No,Exotic,Neo
Formica_pergandei,NA,NA,NA,NA,NA,No,NA,NA,No,No,Pr,NA,NA,NA,NA,Yes,NA,NA,TF,NA,NA,Native,Ne
Pheidole_lustrata,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,MR,NA,NA,NA,NA,NA,Ge,Gr,NA,Native,Neo
Dorylus_atriceps,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Af
Crematogaster_vidua,NA,NA,NA,NA,NA,NA,1.6094379124341,1.6094379124341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Af
Camponotus_rotundinodis,NA,NA,NA,NA,NA,NA,1.79175946922805,1.79175946922805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Af
Neivamyrmex_carolinensis,Oligogynous,NA,Dependent,NA,10.3089859934221,Yes,NA,NA,No,Yes,Pr,NA,NA,NA,No,No,No,No,Ge,NA,No,Native,Ne
Proformica_epinotalis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tu,NA,NA,Native,Pa
Cerapachys_augustae,Monogynous,NA,Independent,NA,NA,No,NA,NA,NA,Yes,NA,NA,NA,NA,NA,No,NA,NA,TF,NA,NA,Exotic,Ne
Octostruma_wheeleri,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RF,NA,NA,Native,Neo
Lasius_cinereus,Monogynous,NA,NA,NA,NA,No,NA,NA,NA,No,Om,NA,NA,NA,NA,NA,NA,NA,Ge,Un,No,Native,Pa
Cataglyphis_seticornis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ge,NA,NA,Native,Af
Lasius_californicus,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,NA,HT,NA,NA,NA,NA,NA,TF,NA,NA,Native,Ne
